,property_id,energy_type,energy_usage,energy_usage_unit,cce_2024_2029_tco2e,cce_2030_2034_tco2e
41984,4398177,electricity,30008662.9,kWh,8671.303232,4351.256121
41985,4398177,district_steam,80720551.0,kBtu,3626.774356,3487.127803
41986,4398177,natural_gas,609968.8,kBtu,32.39544297,32.39544297
