,property_id,property_type,property_use_type,floor_area_sqft,2024-2029 Emissions Limit tCO2e/sf,2030-2034 Emissions Limit tCO2e/sf,2035-2039 Emissions Limit tCO2e/sf,2040-2049 Emissions Limit tCO2e/sf,2024_2029_emission_cap_tco2,2030_2034_emission_cap_tco2,2035_2039_emission_cap_tco2,2040_2049_emission_cap_tco2
21687,4398177,1_largest,Office,2677840.0,0.00758,0.002690852,0.00165234,0.000581893,20298.0272,7205.671119680001,4424.7021456,1558.21635112
21688,4398177,2_largest,Other - Entertainment/Public Assembly,80438.0,0.00987,0.002956738,0.002250122,0.00135561,793.9230600000001,237.834091244,180.995313436,109.04255718
21689,4398177,3_largest,Retail Store,70198.1,0.00758,0.00210449,0.00121605,0.00017604,532.1015980000001,147.73119946900002,85.36439950500001,12.357673524
